"producto interno bruto por sectores de origen, trimestral, pesos corrientes, millones de pesos corrientes",,,,,
año,quarter,nivel1,nive2,nivel3,valor
2014,q3,Agropecuario,"Ganadería, Silvicultura y Pesca","Ganadería, Silvicultura y Pesca",12193.23545
2014,q4,Agropecuario,"Ganadería, Silvicultura y Pesca","Ganadería, Silvicultura y Pesca",14451.17848
2015,q1,Agropecuario,"Ganadería, Silvicultura y Pesca","Ganadería, Silvicultura y Pesca",13202.61467
2015,q2,Agropecuario,"Ganadería, Silvicultura y Pesca","Ganadería, Silvicultura y Pesca",13441.64241
2015,q3,Agropecuario,"Ganadería, Silvicultura y Pesca","Ganadería, Silvicultura y Pesca",12914.51217
2015,q4,Agropecuario,"Ganadería, Silvicultura y Pesca","Ganadería, Silvicultura y Pesca",15506.1213
2016,q1,Agropecuario,"Ganadería, Silvicultura y Pesca","Ganadería, Silvicultura y Pesca",13538.27944
2016,q2,Agropecuario,"Ganadería, Silvicultura y Pesca","Ganadería, Silvicultura y Pesca",14350.64489
2016,q3,Agropecuario,"Ganadería, Silvicultura y Pesca","Ganadería, Silvicultura y Pesca",14012.66681
2007,q1,Industrias,Explotación de Minas y Canteras,Explotación de Minas y Canteras,7481.925237
2007,q2,Industrias,Explotación de Minas y Canteras,Explotación de Minas y Canteras,8927.601195
2007,q3,Industrias,Explotación de Minas y Canteras,Explotación de Minas y Canteras,6753.125476
2007,q4,Industrias,Explotación de Minas y Canteras,Explotación de Minas y Canteras,5335.833939
2008,q1,Industrias,Explotación de Minas y Canteras,Explotación de Minas y Canteras,4213.518472
2008,q2,Industrias,Explotación de Minas y Canteras,Explotación de Minas y Canteras,4090.59394
2008,q3,Industrias,Explotación de Minas y Canteras,Explotación de Minas y Canteras,2973.206093
2008,q4,Industrias,Explotación de Minas y Canteras,Explotación de Minas y Canteras,2061.226894
2009,q1,Industrias,Explotación de Minas y Canteras,Explotación de Minas y Canteras,1842.542593
2009,q2,Industrias,Explotación de Minas y Canteras,Explotación de Minas y Canteras,1990.222811
2009,q3,Industrias,Explotación de Minas y Canteras,Explotación de Minas y Canteras,2211.681976
2009,q4,Industrias,Explotación de Minas y Canteras,Explotación de Minas y Canteras,2300.535174
2010,q1,Industrias,Explotación de Minas y Canteras,Explotación de Minas y Canteras,2171.692405
2010,q2,Industrias,Explotación de Minas y Canteras,Explotación de Minas y Canteras,2144.741826
2010,q3,Industrias,Explotación de Minas y Canteras,Explotación de Minas y Canteras,2152.347709
2010,q4,Industrias,Explotación de Minas y Canteras,Explotación de Minas y Canteras,2375.635802
2011,q1,Industrias,Explotación de Minas y Canteras,Explotación de Minas y Canteras,3755.614037
2011,q2,Industrias,Explotación de Minas y Canteras,Explotación de Minas y Canteras,5329.357747
2011,q3,Industrias,Explotación de Minas y Canteras,Explotación de Minas y Canteras,4887.711019
2011,q4,Industrias,Explotación de Minas y Canteras,Explotación de Minas y Canteras,4586.442852
2012,q1,Industrias,Explotación de Minas y Canteras,Explotación de Minas y Canteras,4664.640034
2012,q2,Industrias,Explotación de Minas y Canteras,Explotación de Minas y Canteras,4217.348323
2012,q3,Industrias,Explotación de Minas y Canteras,Explotación de Minas y Canteras,4146.801876
2012,q4,Industrias,Explotación de Minas y Canteras,Explotación de Minas y Canteras,8338.2857
2013,q1,Industrias,Explotación de Minas y Canteras,Explotación de Minas y Canteras,11760.45912
2013,q2,Industrias,Explotación de Minas y Canteras,Explotación de Minas y Canteras,12168.56368
2013,q3,Industrias,Explotación de Minas y Canteras,Explotación de Minas y Canteras,10805.1328
2013,q4,Industrias,Explotación de Minas y Canteras,Explotación de Minas y Canteras,12318.45312
2014,q1,Industrias,Explotación de Minas y Canteras,Explotación de Minas y Canteras,14013.48556
2014,q2,Industrias,Explotación de Minas y Canteras,Explotación de Minas y Canteras,13345.82086
2014,q3,Industrias,Explotación de Minas y Canteras,Explotación de Minas y Canteras,14004.50354
2014,q4,Industrias,Explotación de Minas y Canteras,Explotación de Minas y Canteras,14023.36394
2015,q1,Industrias,Explotación de Minas y Canteras,Explotación de Minas y Canteras,10151.25054
2015,q2,Industrias,Explotación de Minas y Canteras,Explotación de Minas y Canteras,12162.1407
2015,q3,Industrias,Explotación de Minas y Canteras,Explotación de Minas y Canteras,13359.40038
2015,q4,Industrias,Explotación de Minas y Canteras,Explotación de Minas y Canteras,11161.15912
2016,q1,Industrias,Explotación de Minas y Canteras,Explotación de Minas y Canteras,13478.09135
2016,q2,Industrias,Explotación de Minas y Canteras,Explotación de Minas y Canteras,14439.27055
2016,q3,Industrias,Explotación de Minas y Canteras,Explotación de Minas y Canteras,17948.95036
2007,q1,Industrias,Manufactura Local,Industrias de Alimentos,13132.94221
2007,q2,Industrias,Manufactura Local,Industrias de Alimentos,14345.83154
2007,q3,Industrias,Manufactura Local,Industrias de Alimentos,12232.24983
2007,q4,Industrias,Manufactura Local,Industrias de Alimentos,14915.81354
2008,q1,Industrias,Manufactura Local,Industrias de Alimentos,15604.996
2008,q2,Industrias,Manufactura Local,Industrias de Alimentos,17685.72586
2008,q3,Industrias,Manufactura Local,Industrias de Alimentos,15120.11762
2008,q4,Industrias,Manufactura Local,Industrias de Alimentos,18513.65219
2009,q1,Industrias,Manufactura Local,Industrias de Alimentos,16958.93991
2009,q2,Industrias,Manufactura Local,Industrias de Alimentos,18798.65147
2009,q3,Industrias,Manufactura Local,Industrias de Alimentos,15930.93417
2009,q4,Industrias,Manufactura Local,Industrias de Alimentos,19928.30149
2010,q1,Industrias,Manufactura Local,Industrias de Alimentos,19590.08974
2010,q2,Industrias,Manufactura Local,Industrias de Alimentos,20815.64726
2010,q3,Industrias,Manufactura Local,Industrias de Alimentos,18826.30551
2010,q4,Industrias,Manufactura Local,Industrias de Alimentos,22507.7245
2011,q1,Industrias,Manufactura Local,Industrias de Alimentos,21822.67457
